SEVERIDADE,PA_CODUNI,NUM_PACIENTES,NU_LATITUDE,NU_LONGITUDE
LEVE/MODERADA,2497751,3,-12.9774442,-38.4598965
LEVE/MODERADA,2528916,3,-3.726741,-38.466252
LEVE/MODERADA,2534460,3,-16.0698046,-57.6822047
LEVE/MODERADA,2537788,3,-27.1082756,-52.6004572
LEVE/MODERADA,2673916,3,-15.799748564191233,-47.89122819900513
LEVE/MODERADA,2682214,3,-25.438507895189947,-49.18673515319824
LEVE/MODERADA,2695324,3,-19.926893,-43.897992
LEVE/MODERADA,2698439,3,-23.961,-46.334
LEVE/MODERADA,2740338,3,-24.970836,-53.498274
LEVE/MODERADA,2759616,3,-20.733,-42.029
LEVE/MODERADA,2798298,3,-20.803,-49.386
LEVE/MODERADA,2808412,3,-8.762,-63.904
LEVE/MODERADA,2813793,3,-19.92611557990961,-43.92663359642029
LEVE/MODERADA,3013499,3,-14.786521923691762,-39.27241086959839
LEVE/MODERADA,3157245,3,-27.597040107119152,-48.51781368255615
LEVE/MODERADA,3296350,3,-23.47096202192208,-46.54276371002197
LEVE/MODERADA,3534979,3,-20.452754,-54.603723
LEVE/MODERADA,3626245,3,-29.918,-51.184
LEVE/MODERADA,5301831,3,-19.748,-47.932
LEVE/MODERADA,5699525,3,-29.888578,-54.823075
LEVE/MODERADA,6164366,3,-21.742369929228424,-48.12054634094238
LEVE/MODERADA,6289304,3,-20.557,-48.568
LEVE/MODERADA,6461018,3,-19.986,-44.428
LEVE/MODERADA,6476058,3,-22.126,-51.389
LEVE/MODERADA,6523536,3,-22.565,-47.402
LEVE/MODERADA,6682545,3,-24.7277792,-48.1240415
LEVE/MODERADA,7204639,3,-22.546211466567193,-47.36660957336426
LEVE/MODERADA,7418078,3,-21.768238231313724,-48.15823674201965
LEVE/MODERADA,7523483,3,-18.8668065,-48.2635889
LEVE/MODERADA,9373853,3,-14.223,-42.781
LEVE/MODERADA,0008036,2,-23.5048091,-46.7882229
LEVE/MODERADA,0009156,2,-23.2112012,-45.8854831
LEVE/MODERADA,0009962,2,-20.461403,-54.61285
LEVE/MODERADA,0010405,2,-20.411019,-54.572318
LEVE/MODERADA,0018112,2,-25.432500787914698,-49.18673515319824
LEVE/MODERADA,0018694,2,-26.101321,-49.79941
LEVE/MODERADA,0021784,2,-20.4475,-54.6196
LEVE/MODERADA,0027049,2,-19.817,-43.956
LEVE/MODERADA,2001527,2,-9.95085476277123,-67.85816073417664
LEVE/MODERADA,2022699,2,-22.8820497,-47.0465795
LEVE/MODERADA,2022923,2,-22.9293059,-47.1229067
LEVE/MODERADA,2022931,2,-22.9296675,-47.1033496
LEVE/MODERADA,2025361,2,-23.7141925,-46.5444141188369
LEVE/MODERADA,2036193,2,-22.958,-45.549
LEVE/MODERADA,2037270,2,-22.9782329,-47.1073237
LEVE/MODERADA,2038757,2,-22.784981,-50.2198438
LEVE/MODERADA,2038935,2,-23.005655,-46.84045
LEVE/MODERADA,2050749,2,-22.701,-46.764
LEVE/MODERADA,2056062,2,-20.544848,-48.5616017
LEVE/MODERADA,2064804,2,-21.7926239,-48.2044815
LEVE/MODERADA,2074257,2,-23.471193,-46.542374
LEVE/MODERADA,2076225,2,-21.178,-47.81
LEVE/MODERADA,2077477,2,-23.548,-46.636
LEVE/MODERADA,2077523,2,-23.548,-46.636
LEVE/MODERADA,2078813,2,-23.307,-47.2729
LEVE/MODERADA,2079313,2,-23.308,-47.133
LEVE/MODERADA,2079437,2,-22.612346998600263,-50.66643476486206
LEVE/MODERADA,2079828,2,-23.602,-46.753
LEVE/MODERADA,2081350,2,-23.1966992,-49.381954199999996
LEVE/MODERADA,2081660,2,-23.0553,-49.6237
LEVE/MODERADA,2082128,2,-22.906,-47.061
LEVE/MODERADA,2083981,2,-22.822,-47.267
LEVE/MODERADA,2085615,2,-21.359194597852845,-48.23094606399536
LEVE/MODERADA,2098881,2,-19.87304648065051,-47.448105812072754
LEVE/MODERADA,2115662,2,-19.886,-43.807
LEVE/MODERADA,2129469,2,-21.7801624,-46.5661433
LEVE/MODERADA,2154757,2,-19.956245,-44.0167773
LEVE/MODERADA,2164779,2,-19.748,-47.932
LEVE/MODERADA,2164787,2,-19.748,-47.932
LEVE/MODERADA,2164973,2,-19.748,-47.932
LEVE/MODERADA,2165112,2,-19.748,-47.932
LEVE/MODERADA,2165473,2,-19.748,-47.932
LEVE/MODERADA,2201666,2,-19.748,-47.932
LEVE/MODERADA,2209195,2,-18.948231237946146,-46.98685169219971
LEVE/MODERADA,2225794,2,-29.689,-51.461
LEVE/MODERADA,2227908,2,-29.587,-51.376
LEVE/MODERADA,2232146,2,-29.678,-51.131
LEVE/MODERADA,2235412,2,-27.78434065310972,-52.80428409576416
LEVE/MODERADA,2252988,2,-31.732815,-52.336672
LEVE/MODERADA,2263661,2,-28.639,-53.606
LEVE/MODERADA,2269732,2,-22.852,-43.349
LEVE/MODERADA,2270560,2,-22.88699489,-43.39962588
LEVE/MODERADA,2279282,2,-21.2013756,-41.891859
LEVE/MODERADA,2287250,2,-21.7562546,-41.3241216
LEVE/MODERADA,2287447,2,-21.7562546,-41.3241216
LEVE/MODERADA,2304155,2,-27.1504984,-52.310836
LEVE/MODERADA,2337835,2,-16.672907618852292,-49.272308349609375
